time,gt_x,gt_y,gt_theta
1747606937.7056553,3.0,-0.78,1.570796
1747606937.7145166,2.9999999281810825,-0.7800490913875977,1.5707917299312355
1747606937.7269728,3.0000000000292606,-0.780169182173469,1.5707966597628291
1747606937.7353492,3.000000003316002,-0.780273985819149,1.5707942303135556
1747606937.7500465,3.00000000600425,-0.7802727277791912,1.5707966769991424
1747606937.7553334,3.00000000531942,-0.7802727484341083,1.5707954360683716
1747606937.76333,3.0000000058367897,-0.7802727331488697,1.5707966527946604
1747606937.7762332,3.00000000535901,-0.7802727413550868,1.5707954407552511
1747606937.7838783,3.0000000058945737,-0.7802727270227469,1.570796653270868
1747606937.7949958,3.0000000054164193,-0.7802727373360286,1.5707954409937988
1747606937.8040848,3.000000005967004,-0.780272724447815,1.5707966534715623
1747606937.8138938,3.0000000054906093,-0.780272735671264,1.5707954412018426
1747606937.8242407,3.000000006035166,-0.780272723350967,1.5707966536756774
1747606937.8361728,3.000000005552907,-0.780272734925201,1.5707954414095482
1747606937.8439634,3.0000000060938605,-0.7802727228203972,1.5707966538820783
1747606937.8539255,3.0000000056093823,-0.7802727345269345,1.5707954416173355
1747606937.863259,3.0000000061489738,-0.7802727225034111,1.570796654089371
1747606937.8732405,3.000000005663656,-0.7802727342659079,1.5707954418251313
1747606937.884637,3.0000000062027237,-0.7802727222841846,1.57079665429464
1747606937.901097,3.000000005717091,-0.7802727340786908,1.5707954420327699
1747606937.911246,3.0000000062559686,-0.780272722096893,1.5707966545026029
1747606937.914045,3.0000000057702154,-0.7802727338912228,1.5707954422405785
1747606937.9254987,3.000000006309019,-0.7802727219093589,1.5707966547104057
1747606937.935053,3.0000000058232197,-0.7802727337036528,1.570795442448381
1747606937.942288,3.000000006361995,-0.7802727217217674,1.5707966549182084
1747606937.9532826,3.0000000058761787,-0.7802727335160481,1.5707954426561832
1747606937.9674957,3.0000000064149437,-0.7802727215341548,1.570796655126011
1747606937.9753246,3.0000000059291203,-0.7802727333284307,1.5707954428639859
1747606937.9835553,3.0000000064678813,-0.7802727213465342,1.5707966553338135
1747606937.993754,3.000000005982056,-0.7802727331408081,1.5707954430717888
1747606938.0037851,3.0000000065208154,-0.7802727211589108,1.5707966555416162
1747606938.0150023,3.0000000060349885,-0.7802727329531841,1.5707954432795914
1747606938.0252445,3.0000000065737473,-0.7802727209712861,1.5707966557494182
1747606938.0339355,3.0000000060879204,-0.7802727327655591,1.5707954434873943
1747606938.0434246,3.000000006626679,-0.7802727207836613,1.5707966559572213
1747606938.0549035,3.0000000061408523,-0.7802727325779341,1.5707954436951965
1747606938.064827,3.0000000066796106,-0.7802727205960361,1.5707966561650242
1747606938.0743394,3.0000000061937837,-0.7802727323903087,1.5707954439029996
1747606938.084808,3.000000006732542,-0.7802727204084109,1.5707966563728264
1747606938.1044624,3.000000006246715,-0.7802727322026837,1.570795444110802
1747606938.1062129,3.000000006785474,-0.7802727202207856,1.5707966565806293
1747606938.1137993,3.000000006299647,-0.7802727320150583,1.5707954443186045
1747606938.1239395,3.0000000068384054,-0.7802727200331604,1.5707966567884322
1747606938.1337097,3.0000000063525785,-0.7802727318274331,1.5707954445264074
1747606938.1447864,3.000000006891337,-0.780272719845535,1.5707966569962346
1747606938.154486,3.00000000640551,-0.7802727316398079,1.5707954447342105
1747606938.1648893,3.0000000069442687,-0.7802727196579099,1.5707966572040373
1747606938.1747947,3.000000006458441,-0.7802727314521823,1.5707954449420127
1747606938.1850073,3.000000006997199,-0.7802727194702844,1.5707966574118393
1747606938.196697,3.0000000065113714,-0.7802727312645571,1.5707954451498154
1747606938.2036498,3.000000007050129,-0.7802727192826591,1.5707966576196422
1747606938.2154086,3.0000000065643024,-0.7802727310769317,1.5707954453576187
1747606938.2255058,3.0000000071030604,-0.7802727190950337,1.5707966578274453
1747606938.235113,3.000000006617234,-0.7802727308893064,1.570795445565421
1747606938.2433531,3.0000000071559922,-0.7802727189074083,1.5707966580352475
1747606938.2535312,3.0000000066701658,-0.7802727307016808,1.5707954457732236
1747606938.2642245,3.0000000072089237,-0.7802727187197829,1.5707966582430501
1747606938.2743866,3.000000006723097,-0.7802727305140553,1.5707954459810263
1747606938.2848537,3.000000007261855,-0.7802727185321574,1.570796658450853
1747606938.3021486,3.0000000067760286,-0.78027273032643,1.570795446188829
1747606938.3039486,3.000000007314787,-0.7802727183445319,1.5707966586586557
1747606938.3137734,3.00000000682896,-0.7802727301388046,1.570795446396632
1747606938.3265715,3.0000000073677184,-0.7802727181569069,1.5707966588664584
1747606938.3351367,3.000000006881892,-0.7802727299511795,1.5707954466044345
1747606938.3454347,3.00000000742065,-0.7802727179692815,1.5707966590742608
1747606938.35236,3.0000000069348234,-0.7802727297635541,1.5707954468122372
1747606938.3629067,3.0000000074735813,-0.7802727177816563,1.5707966592820637
1747606938.3732162,3.000000006987755,-0.7802727295759287,1.57079544702004
1747606938.384013,3.000000007526513,-0.7802727175940308,1.5707966594898664
1747606938.3935022,3.0000000070406867,-0.7802727293883034,1.5707954472278431
1747606938.405057,3.0000000075794446,-0.7802727174064055,1.5707966596976692
1747606938.4122374,3.000000007093618,-0.7802727292006783,1.5707954474356456
1747606938.429822,3.000000007632376,-0.7802727172187803,1.570796659905472
1747606938.434556,3.0000000071465496,-0.7802727290130528,1.5707954476434485
1747606938.4449706,3.0000000076853075,-0.780272717031155,1.5707966601132746
1747606938.4563022,3.000000007199481,-0.7802727288254274,1.570795447851251
1747606938.466581,3.0000000077382394,-0.7802727168435294,1.5707966603210772
1747606938.4742754,3.000000007252413,-0.7802727286378018,1.5707954480590538
1747606938.4848876,3.000000007791171,-0.7802727166559039,1.5707966605288797
1747606938.5051064,3.0000000073053443,-0.7802727284501765,1.570795448266857
1747606938.5144374,3.0000000078441023,-0.7802727164682788,1.5707966607366826
1747606938.5162435,3.0000000073582758,-0.7802727282625511,1.5707954484746594
1747606938.5256119,3.000000007897034,-0.7802727162806533,1.5707966609444848
1747606938.533777,3.0000000074112076,-0.7802727280749259,1.570795448682462
1747606938.5436156,3.0000000079499656,-0.780272716093028,1.5707966611522879
1747606938.5533674,3.000000007464139,-0.7802727278873004,1.570795448890265
1747606938.5657852,3.000000008002897,-0.7802727159054026,1.57079666136009
1747606938.5727372,3.0000000075170705,-0.780272727699675,1.5707954490980678
1747606938.5836537,3.0000000080558284,-0.7802727157177775,1.5707966615678928
1747606938.5942893,3.000000007570002,-0.7802727275120499,1.57079544930587
1747606938.6066036,3.0000000081087603,-0.7802727155301522,1.5707966617756957
1747606938.6150987,3.000000007622934,-0.7802727273244245,1.5707954495136731
1747606938.6238756,3.0000000081616918,-0.7802727153425268,1.5707966619834988
1747606938.6328793,3.0000000076758653,-0.7802727271367992,1.5707954497214751
1747606938.6451547,3.000000008214623,-0.7802727151549014,1.5707966621913008
1747606938.6542435,3.0000000077287967,-0.7802727269491738,1.5707954499292784
1747606938.6664693,3.000000008267555,-0.780272714967276,1.5707966623991036
1747606938.6758025,3.000000007781728,-0.7802727267615486,1.570795450137081
1747606938.6845918,3.000000008320485,-0.7802727147796509,1.5707966626069065
1747606938.7035751,3.0000000078346583,-0.7802727265739232,1.5707954503448835
1747606938.7056901,3.0000000083734153,-0.7802727145920255,1.5707966628147088
1747606938.7166708,3.0000000078875892,-0.7802727263862979,1.5707954505526869
1747606938.7244875,3.0000000084263467,-0.7802727144043999,1.5707966630225116
1747606938.7347114,3.0000000079405207,-0.7802727261986723,1.5707954507604895
1747606938.7448292,3.0000000084792786,-0.7802727142167745,1.5707966632303143
1747606938.756177,3.0000000079934526,-0.780272726011047,1.570795450968292
1747606938.7656784,3.00000000853221,-0.7802727140291494,1.570796663438117
1747606938.775658,3.000000008046384,-0.7802727258234217,1.5707954511760949
1747606938.7851145,3.0000000085851415,-0.780272713841524,1.5707966636459199
1747606938.7941594,3.0000000080993154,-0.7802727256357962,1.5707954513838978
1747606938.802835,3.0000000086380734,-0.7802727136538984,1.5707966638537223
1747606938.8132522,3.0000000081522473,-0.7802727254481708,1.5707954515917004
1747606938.823219,3.000000008691005,-0.7802727134662731,1.5707966640615252
1747606938.8349967,3.0000000082051788,-0.7802727252605455,1.570795451799503
1747606938.8459837,3.0000000087439362,-0.7802727132786479,1.5707966642693278
1747606938.8556893,3.00000000825811,-0.7802727250729202,1.570795452007306
1747606938.864631,3.0000000087968677,-0.7802727130910226,1.57079666447713
1747606938.8740892,3.0000000083110416,-0.7802727248852949,1.5707954522151089
1747606938.8842077,3.0000000088497996,-0.7802727129033972,1.570796664684933
1747606938.9000964,3.0000000083639735,-0.7802727246976694,1.5707954524229115
1747606938.9060192,3.000000008902731,-0.7802727127157718,1.5707966648927358
1747606938.9177237,3.000000008416905,-0.780272724510044,1.5707954526307142
1747606938.923026,3.0000000089556624,-0.7802727125281465,1.570796665100538
1747606938.933116,3.0000000084698364,-0.7802727243224188,1.5707954528385168
1747606938.9435704,3.0000000090085943,-0.7802727123405212,1.5707966653083414
1747606938.953807,3.000000008522768,-0.7802727241347934,1.5707954530463195
1747606938.964284,3.0000000090615258,-0.7802727121528958,1.5707966655161436
