time,dr_imu_x,dr_imu_y,dr_imu_theta
1747685951.362802,[2.62040454],[0.36714636],[3.02917087]
1747685951.5681074,[2.6004813],[0.36880247],[3.09285158]
1747685951.8860357,[2.58049436],[0.36923017],[3.12320511]
1747685951.9890814,[2.56650989],[0.36870451],[-3.07986484]
1747685952.1724827,[2.53963082],[0.36626942],[-3.04813552]
1747685952.3667314,[2.52076226],[0.3640843],[-3.02515473]
1747685952.5774963,[2.49991035],[0.36164741],[-3.02524399]
1747685952.7762053,[2.48104443],[0.35944246],[-3.0252466]
1747685952.978171,[2.46019265],[0.35700545],[-3.02524841]
1747685953.178986,[2.441327],[0.35480058],[-3.02524869]
1747685953.3805704,[2.42146841],[0.35247967],[-3.02524915]
1747685953.5867572,[2.40160969],[0.35015875],[-3.0252481]
1747685953.783711,[2.38175043],[0.34784164],[-3.02934916]
1747685953.9804857,[2.36086839],[0.34568964],[-3.03955673]
1747685954.1940687,[2.34094299],[0.3440312],[-3.06791627]
1747685954.3754594,[2.32099023],[0.34274496],[-3.08631592]
1747685954.5949254,[2.30201541],[0.3418836],[-3.09560744]
1747685954.9431307,[2.28202374],[0.34161245],[-3.12874613]
1747685955.0068564,[2.26503494],[0.34209173],[3.1302897]
1747685955.1828966,[2.2420895],[0.34352452],[3.07320634]
1747685955.3862338,[2.22123014],[0.34587978],[3.00109266]
1747685955.572557,[2.20251068],[0.34908405],[2.93622991]
1747685955.7762966,[2.18212024],[0.35406879],[2.87008299]
1747685956.0020518,[2.16304054],[0.36004044],[2.83945863]
1747685956.201542,[2.14433751],[0.36710243],[2.74980307]
1747685956.3833435,[2.12704369],[0.37495099],[2.69088853]
1747685956.580845,[2.10926849],[0.38410106],[2.66368656]
1747685956.7862582,[2.09204458],[0.39425039],[2.57754033]
1747685956.9862657,[2.0752255],[0.40506415],[2.57008094]
1747685957.182679,[2.05756593],[0.4164192],[2.57011751]
1747685957.3921063,[2.04158855],[0.42669333],[2.57012373]
1747685957.5868204,[2.02477026],[0.43750821],[2.57012421]
1747685957.7887604,[2.00795204],[0.44832303],[2.57012441]
1747685957.9789217,[1.99029281],[0.45967867],[2.57012376]
1747685958.1748908,[1.97431543],[0.46995282],[2.57012284]
1747685958.4077618,[1.95665624],[0.48130847],[2.57012227]
1747685958.5722892,[1.94067887],[0.49158265],[2.57012164]
1747685958.7907348,[1.92301953],[0.50293841],[2.5701215]
