time,slam_3sigma_x,slam_3sigma_y,dr_3sigma_x,dr_3sigma_y
1748812987.3723803,0.009486832980531455,0.20599864896454168,0.009486832983577302,0.2059986489644014
1748812987.5442913,0.009486832981669724,0.242140882262319,0.009486833037038593,0.2421408822601496
1748812987.764687,0.009486832982666452,0.2735488445421306,0.009486833090499901,0.2735488445383907
1748812987.9412076,0.009486832983657767,0.3017047129858851,0.009486833143961326,0.30170471298084445
1748812988.1627493,0.009486832985369984,0.3274484651444287,0.009486833197422766,0.32744846513828524
1748812988.3671505,0.009486832987290767,0.35246143925354345,0.009486833253158015,0.35246143924638756
1748812988.5659952,0.009486832987652566,0.3747343454345382,0.009486833306619247,0.37473434542646344
1748812988.7753031,0.009486832988617811,0.39677756628007105,0.00948683336315327,0.3967775662711165
1748812988.9450245,0.009486832989542721,0.4147402954332401,0.009486833411268839,0.41474029542359403
1748812989.144992,0.009486832991420883,0.43475984187930505,0.009486833467004517,0.4347598418689281
1748812989.340882,0.009486832992399328,0.4530042865122571,0.009486833520466222,0.45300428650119917
1748812989.5459502,0.009486832992744448,0.46968053304211843,0.009486833571654031,0.46968053303042634
1748812989.7447252,0.009486832993708927,0.4874488799593376,0.009486833627389843,0.4874488799470061
1748812989.938876,0.009486832995364312,0.5029844233113361,0.00948683367857748,0.5029844232984513
1748812990.1393585,0.009486832996500473,0.5188353241457208,0.009486833732039165,0.518835324132273
1748812990.350552,0.00948683299747606,0.5349735156217084,0.009486833787775302,0.5349735156076951
1748812990.5693731,0.009486832999118674,0.5491662959036216,0.009486833838963447,0.5491662958891146
1748812990.7582333,0.009486833000245495,0.5637200949269354,0.009486833892425328,0.563720094911922
1748812990.9731739,0.009486833001212374,0.578607771188149,0.009486833948161515,0.5786077711726237
1748812991.1593764,0.009486833002841933,0.5917549090624785,0.00948683399934972,0.5917549090465036
1748812991.3473074,0.009486833003963305,0.6059541895675151,0.009486834055085889,0.6059541895510592
1748812991.5402565,0.009486833004276846,0.6185203306073892,0.009486834106273849,0.6185203305904872
1748812991.7887604,0.009486833006086902,0.6333985275986905,0.009486834167356246,0.6333985275812974
1748812991.947277,0.009486833006946891,0.6448028926091334,0.009486834215472553,0.6448028925913525
1748812992.1385708,0.009486833007861992,0.6566259893100059,0.009486834266660912,0.6566259892918189
1748812992.3564043,0.009486833009639456,0.668845612473379,0.009486834320123353,0.6688456124547912
1748812992.5467768,0.009486833010745602,0.6814404308373341,0.009486834375859956,0.681440430818329
1748812992.7443013,0.009622083431719431,0.6926384195956854,0.016678557555472595,0.6926384195762986
1748812992.9542835,0.01099098299984274,0.704808164543177,0.13838191962881782,0.7048081647571207
1748812993.1556396,0.010676501890112332,0.7162061937098421,0.2579986073487901,0.7162061941897626
1748812993.351768,0.011226684685762163,0.7274256491163382,0.37901608370167306,0.7274256498661689
1748812993.5522115,0.01174719723441665,0.7379261440955406,0.4952078939818704,0.7379261450874537
1748812993.7470536,0.012619548945059227,0.7488202436216134,0.6187793581041248,0.7488202448456838
1748812993.9745893,0.012725031547875998,0.7600910237246679,0.749908003936301,0.7600910251707221
1748812994.1465907,0.013186131194732584,0.7701462741309878,0.8697530096102137,0.7701462757601456
1748812994.3447542,0.014304512687872424,0.7811093973910456,1.0035335254635003,0.7811093992086255
1748812994.5483418,0.01451026226840858,0.7908974711884942,1.1257573327069095,0.7908974731731617
1748812994.7502518,0.014472448078050239,0.801071515602123,1.2556207316165433,0.8010715177708561
1748812994.9567468,0.01493180819283824,0.8116170157272222,1.3932988622055118,0.8116170180952194
1748812995.1429582,0.015571910954862739,0.8210414724025699,1.5190223247520804,0.8210414749550494
1748812995.3448396,0.015666058324959226,0.8313336681815354,1.6592499138346182,0.8313336709388217
